reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
27687bf1-4587-444f-a0c7-5f20cda63c41,CAHYO,https://play-lh.googleusercontent.com/a/ACg8ocLKRtArOPjGeMy_W9SNR-QtGCnHPP-EUvUwzFSUnpOXMimhzXw=mo,jelek tidak bisa merubah lokasi negara,2,0,2.683.775,2025-09-30 23:57:40,,,2.683.775
ed964c2c-45dc-40d7-b4be-cf11b44572ca,Zacky Rahman Jaelani,https://play-lh.googleusercontent.com/a-/ALV-UjW1wZxc74PWm6mGQo6jeEP-n4-xEY4LmjawEJUq1t_BPipoigcC,mantap,5,0,2.692.843,2025-09-30 23:55:48,,,2.692.843
b2f1355b-242b-46c5-9be1-2937f715d0fc,Fahmi Akbar,https://play-lh.googleusercontent.com/a/ACg8ocI17PX9czxy4WbdAh7cwaq-mK4gFQtttl8wmSs_CmVtuFNtYA=mo,banyak gem tapi aku suka ya gem gar a den,5,0,2.691.868,2025-09-30 23:51:27,,,2.691.868
15d01385-218d-439e-9eef-6db57ae131a0,Yuni Arto,https://play-lh.googleusercontent.com/a/ACg8ocJtNSkKl3Ul7sPyFA4ZUhADdodKaDVs2hGNiqTVVi0a7M9EsQ=mo,ini seru banget ada map banyak dan permainan seru😇,5,0,2.692.843,2025-09-30 23:38:10,,,2.692.843
210c7bc4-56a1-469a-beae-aaa8c8cb4726,Wagiman Man,https://play-lh.googleusercontent.com/a/ACg8ocK9NOqh0Ha4rwcNWuqQaGuNtdrlwOB2w_P1U6Dqry_xtZg4Iw=mo,"seru, asik, bikin ga kesepian biarpun main sendirian, pkokny seru betull",5,0,2.689.880,2025-09-30 23:38:06,,,2.689.880
ab28b18e-03ff-41db-a3fb-db099843c72d,Bon Neng,https://play-lh.googleusercontent.com/a/ACg8ocLWz9PUPpkSgEt2bVx5qvIjWki1zBgJ8Frz4sKkxckdwjFtNA=mo,"game busuk bikin hp panas ,merusak kesehatan baterai",1,0,,2025-09-30 23:37:08,,,
a7e8489d-3e7c-4696-be33-2e57ed4a2969,Jasa service panggilan AC Ali Dhanis,https://play-lh.googleusercontent.com/a-/ALV-UjWp1x-3gWUVuVPcuwJgYKU4ZD1sxjT7O2gQOJlp9--g4u9thoFp,𝗿𝗼𝗯𝗹𝗼𝘅,5,0,2.692.843,2025-09-30 23:37:07,,,2.692.843
3593dba6-0b9c-4197-bf56-f057a1d3b611,MUHHAMMADAKHTARALVARO AKHTAR,https://play-lh.googleusercontent.com/a-/ALV-UjVTW89BosMtpE7TeTbJd3CkbSzxaVib9ezIVvmwytYAJ_YmqWI,no komen,5,0,2.692.843,2025-09-30 23:34:52,,,2.692.843
c9271f69-e052-4d31-af44-eeaf36d7c5b6,Putu Doden,https://play-lh.googleusercontent.com/a-/ALV-UjV1HDDkFnv0GsBbWO8xvXpq3lFyYxkKwfxCp52dCBsdi2M1VtWz,"woii roblok, lu buat apa bikin fitur ngga bisa liat player online, gimana caranya biar orang tau kalo temennya online coba, game loh ditambah fitur kek gitu, mending hapus",1,2,2.692.843,2025-09-30 23:31:06,,,2.692.843
061edada-608c-45e7-a92a-a168b25e7f1b,Rizky Riski,https://play-lh.googleusercontent.com/a/ACg8ocL1Nv6t0N58l2FWrAfnr4ix0qPWshNLhJDdbsAi0K75S4xpwQ=mo,⭐⭐⭐⭐,4,0,2.690.721,2025-09-30 23:30:38,,,2.690.721
